,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
3478,f,Neukölln,52.48542,13.43001,Entire home/apt,3,1,1,42.0,2,1125,0,0,0,3,5.0,5.0,4.67,5.0,5.0,5.0,5.0,f,0.0,1.0
3479,f,Neukölln,52.47475,13.42558,Entire home/apt,2,1,1,36.0,5,1125,0,0,0,6,4.5,4.83,4.5,4.83,4.83,4.5,4.67,f,0.0,1.0
3480,f,Reinickendorf,52.5732,13.35656,Private room,2,1,1,35.0,1,1125,0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3481,f,Mitte,52.53737,13.39736,Entire home/apt,2,1,1,60.0,1,1125,0,0,0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3482,f,Friedrichshain-Kreuzberg,52.50046,13.40438,Entire home/apt,3,2,2,26.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
3483,f,Friedrichshain-Kreuzberg,52.49214,13.39357,Private room,1,1,1,19.0,4,20,0,0,0,3,4.67,4.67,4.67,4.33,4.67,4.33,4.33,f,0.0,1.5
3484,f,Friedrichshain-Kreuzberg,52.49508,13.424,Entire home/apt,2,1,1,150.0,5,365,6,6,6,4,5.0,5.0,4.75,5.0,5.0,5.0,5.0,f,0.0,1.0
3485,f,Mitte,52.52778,13.34992,Private room,2,1,2,34.0,3,1125,0,0,0,7,5.0,5.0,4.67,5.0,4.83,4.5,4.67,f,1.0,0.0
3486,t,Lichtenberg,52.50737,13.47654,Entire home/apt,5,1,3,127.0,4,28,6,6,26,236,4.86,4.88,4.78,4.9,4.92,4.71,4.77,t,0.0,1.0
3487,t,Lichtenberg,52.50896,13.47713,Entire home/apt,4,1,2,95.0,4,28,6,6,26,247,4.8,4.86,4.85,4.87,4.87,4.57,4.71,f,0.0,1.0
3488,f,Neukölln,52.49034,13.43445,Entire home/apt,4,1,1,49.0,1,1125,0,0,0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
3489,f,Mitte,52.53634,13.40628,Entire home/apt,5,3,4,175.0,92,1125,29,59,89,4,5.0,5.0,5.0,4.75,5.0,5.0,5.0,f,0.0,1.5
3490,f,Charlottenburg-Wilm.,52.50093,13.3248,Entire home/apt,1,1,1,99.0,30,180,29,59,89,10,4.5,4.6,4.5,4.6,4.5,5.0,4.3,f,0.0,1.0
3491,f,Pankow,52.53562,13.41877,Entire home/apt,2,1,1,100.0,92,364,0,0,0,16,4.75,4.88,4.75,4.94,5.0,4.88,4.88,f,0.0,1.0
3493,f,Charlottenburg-Wilm.,52.50905,13.30685,Private room,1,1,1,20.0,1,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
