,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
0,f,Pankow,52.53471,13.4181,Entire home/apt,4,1,2,83.0,63,184,3,3,5,147,4.63,4.68,4.53,4.64,4.69,4.92,4.63,f,0.0,1.0
1,f,Pankow,52.53269,13.41805,Entire home/apt,7,4,7,180.0,6,14,0,0,0,8,5.0,5.0,5.0,5.0,5.0,4.86,4.86,f,0.0,2.5
3,t,Pankow,52.54813,13.40366,Entire home/apt,1,1,1,70.0,93,1125,0,2,2,26,4.67,5.0,4.84,4.68,4.84,4.58,4.42,f,0.0,1.0
4,t,Pankow,52.53572,13.42739,Entire home/apt,4,3,3,135.0,5,150,20,49,68,54,4.85,4.87,4.77,4.79,4.94,4.89,4.77,f,0.0,1.5
5,f,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire home/apt,2,1,1,124.0,7,21,5,5,5,24,4.61,4.58,4.58,4.83,4.83,4.96,4.42,f,0.0,1.0
6,f,Mitte,52.52875,13.34062,Entire home/apt,2,1,2,75.0,92,1125,0,0,0,209,4.72,4.73,4.78,4.89,4.89,4.58,4.67,f,0.0,1.0
7,f,Friedrichshain-Kreuzberg,52.51495,13.44469,Entire home/apt,3,1,1,45.0,2,28,0,0,0,6,5.0,4.83,4.83,4.83,4.83,4.83,4.83,f,0.0,1.0
8,f,Pankow,52.54639,13.40638,Entire home/apt,2,1,2,249.0,93,120,7,7,7,20,4.75,4.84,4.89,4.68,4.61,4.63,4.58,f,0.0,1.0
9,t,Treptow - Köpenick,52.40484,13.53339,Private room,1,1,1,46.0,1,10,13,18,39,372,4.93,4.95,4.95,4.96,4.96,4.77,4.92,f,1.5,0.0
10,t,Mitte,52.5197,13.34206,Entire home/apt,2,1,3,96.0,5,365,16,36,66,113,4.59,4.69,4.64,4.95,4.87,4.65,4.55,f,0.0,1.0
11,f,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire home/apt,5,1,3,90.0,93,365,0,0,0,48,4.72,4.86,4.86,4.93,4.86,4.67,4.71,f,0.0,1.0
12,t,Mitte,52.52265,13.3419,Entire home/apt,2,1,2,96.0,5,365,0,0,0,72,4.58,4.74,4.68,4.93,4.88,4.79,4.44,f,0.0,1.0
13,t,Mitte,52.52861,13.40527,Private room,2,1,1,49.0,3,1125,3,8,23,223,4.9,4.92,4.82,4.9,4.96,4.97,4.84,f,1.0,0.0
14,f,Mitte,52.54059,13.40301,Entire home/apt,4,2,2,179.0,3,20,8,8,8,15,4.73,4.67,4.47,4.93,4.6,4.87,4.36,f,0.0,2.0
15,t,Pankow,52.54994,13.406019,Private room,2,1,1,93.0,2,60,11,12,23,84,4.95,4.95,4.94,4.96,4.9,4.83,4.76,f,0.0,1.5
16,f,Neukölln,52.49419,13.42166,Entire home/apt,2,1,1,25.0,92,365,0,0,0,299,4.77,4.82,4.71,4.89,4.92,4.87,4.65,f,0.0,1.0
17,t,Pankow,52.55004,13.41518,Entire home/apt,4,1,2,124.0,3,200,17,36,66,348,4.58,4.74,4.63,4.68,4.73,4.82,4.55,f,0.0,1.0
18,t,Pankow,52.5488,13.40425,Entire home/apt,2,1,1,102.0,93,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
19,f,Tempelhof - Schöneberg,52.39095,13.39185,Entire home/apt,7,4,4,96.0,92,365,0,0,0,7,5.0,4.86,4.86,5.0,5.0,4.57,4.86,f,0.0,2.5
20,t,Tempelhof - Schöneberg,52.49132,13.35102,Entire home/apt,2,2,1,44.0,185,320,0,0,0,62,4.66,4.81,4.83,4.73,4.75,4.71,4.68,f,0.0,1.0
21,f,Pankow,52.53711,13.40888,Entire home/apt,4,2,2,192.0,3,30,24,50,79,103,4.45,4.6,4.61,4.47,4.47,4.88,4.34,f,0.0,1.0
22,f,Charlottenburg-Wilm.,52.50587,13.29551,Entire home/apt,2,1,1,105.0,92,365,0,10,10,40,4.94,4.94,4.78,4.94,4.97,4.97,4.84,f,0.0,1.0
23,f,Neukölln,52.48342,13.43774,Private room,2,1,1,32.0,2,14,0,0,0,30,4.96,4.82,4.89,4.96,4.93,4.61,4.89,f,0.0,1.0
24,t,Marzahn - Hellersdorf,52.47798,13.60628,Entire home/apt,4,1,4,59.0,3,180,19,25,25,52,4.73,4.9,4.4,4.94,4.85,4.58,4.69,f,0.0,1.0
25,f,Charlottenburg-Wilm.,52.5078,13.31867,Entire home/apt,2,1,1,126.0,3,360,0,0,0,68,4.7,4.76,4.7,4.85,4.91,4.91,4.61,t,0.0,1.5
26,f,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire home/apt,2,1,2,45.0,93,730,29,59,89,60,4.74,4.7,4.91,4.77,4.58,4.62,4.58,f,0.0,1.0
27,t,Charlottenburg-Wilm.,52.48074,13.28903,Entire home/apt,1,1,1,86.0,2,330,29,59,89,137,4.94,4.98,5.0,4.97,4.99,4.83,4.88,f,0.0,1.0
28,t,Mitte,52.52142,13.38983,Entire home/apt,5,2,3,150.0,4,60,1,23,38,52,4.94,4.9,4.86,4.88,4.86,4.96,4.84,f,0.0,1.0
29,f,Neukölln,52.47578,13.44689,Entire home/apt,4,1,1,62.0,1,30,0,0,0,3,4.33,5.0,4.33,5.0,5.0,5.0,4.33,f,0.0,1.0
30,t,Neukölln,52.44127,13.46116,Entire home/apt,3,1,1,58.0,4,365,6,13,39,46,4.8,4.89,4.76,4.96,4.96,4.44,4.76,t,0.0,1.0
31,f,Mitte,52.53408,13.38871,Entire home/apt,2,2,4,65.0,93,365,0,0,0,182,4.7,4.76,4.7,4.82,4.73,4.62,4.68,f,0.0,1.0
32,t,Pankow,52.53218,13.41571,Entire home/apt,2,1,1,74.0,3,10,17,47,73,564,4.82,4.85,4.84,4.94,4.94,4.9,4.76,f,0.0,1.0
33,t,Mitte,52.53355,13.40476,Entire home/apt,5,1,4,160.0,2,24,14,40,66,396,4.79,4.81,4.74,4.88,4.88,4.94,4.66,f,0.0,1.0
34,t,Pankow,52.55064,13.41466,Entire home/apt,2,1,1,66.0,3,35,4,4,10,364,4.93,4.94,4.96,4.96,4.96,4.88,4.86,t,0.0,1.0
35,f,Friedrichshain-Kreuzberg,52.49134,13.37975,Entire home/apt,4,1,3,65.0,185,360,0,0,0,99,4.37,4.41,4.51,4.72,4.59,4.52,4.39,f,0.0,1.0
37,t,Friedrichshain-Kreuzberg,52.51367,13.45527,Entire home/apt,2,1,2,136.0,4,365,18,48,52,77,4.79,4.75,4.65,4.84,4.89,4.92,4.58,f,0.0,2.0
38,t,Steglitz - Zehlendorf,52.41643,13.16445,Entire home/apt,4,1,3,125.0,5,365,15,31,50,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,0.0,1.0
40,t,Steglitz - Zehlendorf,52.41618,13.16461,Entire home/apt,2,1,2,105.0,5,365,11,18,43,2,3.0,2.5,3.5,3.5,3.5,4.0,2.5,f,0.0,1.0
41,t,Mitte,52.52826,13.33044,Entire home/apt,4,1,1,60.0,2,365,12,22,33,184,4.59,4.8,4.53,4.87,4.84,4.46,4.63,t,0.0,1.0
42,f,Mitte,52.53094,13.33453,Entire home/apt,5,1,2,203.0,3,1125,24,54,64,49,4.73,4.71,4.88,4.71,4.73,4.61,4.49,t,0.0,1.0
43,f,Mitte,52.52779,13.39108,Entire home/apt,5,2,3,115.0,2,1125,7,24,32,335,4.62,4.74,4.74,4.75,4.62,4.83,4.53,f,0.0,1.0
44,f,Mitte,52.53036,13.38137,Entire home/apt,2,1,1,89.0,3,365,5,23,49,122,4.68,4.76,4.82,4.82,4.35,4.95,4.66,t,0.0,1.0
45,t,Pankow,52.54715,13.42657,Entire home/apt,5,1,4,126.0,3,365,15,45,68,208,4.87,4.95,4.9,4.92,4.94,4.79,4.72,f,0.0,1.0
46,t,Pankow,52.54048,13.41087,Entire home/apt,4,1,1,111.0,4,365,0,6,6,64,4.84,4.84,4.64,4.79,4.97,4.95,4.72,f,0.0,1.0
48,t,Pankow,52.54804,13.40349,Entire home/apt,1,1,1,70.0,93,1125,0,0,0,34,4.66,4.75,4.84,4.88,4.97,4.69,4.26,f,0.0,1.0
49,f,Pankow,52.58178,13.3962,Entire home/apt,4,1,2,82.0,2,30,7,22,43,21,4.95,4.9,4.9,4.86,4.95,4.86,4.81,f,0.0,1.0
50,f,Mitte,52.52983,13.39275,Entire home/apt,6,2,5,120.0,1,365,13,34,39,288,4.71,4.86,4.88,4.8,4.74,4.82,4.58,f,0.0,1.0
51,t,Treptow - Köpenick,52.44612,13.49829,Entire home/apt,4,2,4,85.0,2,365,7,21,44,161,4.55,4.65,4.7,4.83,4.74,4.52,4.48,t,0.0,1.5
52,t,Pankow,52.54367,13.42431,Entire home/apt,3,2,3,100.0,92,180,0,0,0,78,4.81,4.86,4.85,4.88,4.83,4.92,4.66,f,0.0,1.0
53,t,Mitte,52.52024,13.3907,Entire home/apt,6,3,6,159.0,4,1125,0,0,0,155,4.49,4.7,4.56,4.55,4.47,4.89,4.51,t,0.0,1.0
54,t,Pankow,52.54596,13.42291,Entire home/apt,8,2,4,117.0,4,365,2,24,54,372,4.79,4.82,4.77,4.9,4.93,4.86,4.73,t,0.0,1.0
55,f,Pankow,52.54339,13.42615,Entire home/apt,2,1,1,99.0,3,5,1,1,1,184,4.83,4.85,4.85,4.92,4.96,4.89,4.69,t,0.0,1.0
56,t,Tempelhof - Schöneberg,52.49512,13.35251,Entire home/apt,4,1,2,59.0,2,1125,0,0,0,248,4.76,4.83,4.78,4.85,4.83,4.83,4.69,t,0.0,1.0
57,f,Friedrichshain-Kreuzberg,52.49989,13.4448,Entire home/apt,4,1,1,68.0,92,365,1,1,1,85,4.72,4.86,4.93,4.8,4.79,4.79,4.67,f,0.0,1.0
58,t,Mitte,52.52536,13.40488,Entire home/apt,2,1,1,122.0,2,365,11,29,56,609,4.82,4.85,4.92,4.87,4.78,4.95,4.78,f,0.0,1.0
59,f,Charlottenburg-Wilm.,52.49546,13.30858,Entire home/apt,4,1,1,62.0,61,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
60,f,Charlottenburg-Wilm.,52.51792,13.30729,Entire home/apt,6,2,5,119.0,3,30,12,21,44,55,4.49,4.57,4.69,4.58,4.64,4.65,4.43,f,0.0,2.0
61,f,Mitte,52.5349,13.39857,Private room,2,1,1,80.0,2,28,0,0,0,25,4.96,4.96,5.0,4.75,5.0,4.88,4.71,f,0.0,1.0
63,t,Tempelhof - Schöneberg,52.48471,13.35982,Entire home/apt,1,1,1,80.0,3,14,0,0,0,88,4.83,4.84,4.8,4.99,5.0,4.84,4.7,f,0.0,1.0
64,f,Tempelhof - Schöneberg,52.42191,13.37495,Entire home/apt,4,1,2,65.0,5,60,15,45,68,43,4.95,4.98,4.95,5.0,4.98,4.93,4.76,f,0.0,1.0
65,f,Charlottenburg-Wilm.,52.51792,13.30729,Entire home/apt,4,1,1,76.0,3,120,4,19,49,20,4.33,4.72,4.67,4.5,4.72,4.5,4.33,f,0.0,1.0
66,f,Mitte,52.49953,13.36546,Entire home/apt,6,2,5,121.0,3,120,8,26,54,51,4.65,4.75,4.61,4.69,4.47,4.65,4.57,f,0.0,1.5
67,f,Friedrichshain-Kreuzberg,52.50894,13.46075,Entire home/apt,2,1,1,184.0,5,60,18,48,78,26,4.92,4.96,4.75,4.88,4.96,4.96,4.83,f,0.0,1.0
68,t,Tempelhof - Schöneberg,52.49944,13.34685,Entire home/apt,5,3,5,120.0,1,365,17,17,17,302,4.44,4.52,4.42,4.75,4.73,4.78,4.49,t,0.0,1.0
69,f,Tempelhof - Schöneberg,52.49376,13.36408,Private room,1,1,1,48.0,10,60,0,0,0,27,4.67,4.88,4.71,4.88,5.0,4.67,4.82,f,1.0,0.0
70,f,Friedrichshain-Kreuzberg,52.51604,13.46059,Private room,3,1,2,70.0,2,14,0,0,0,149,4.67,4.69,4.67,4.75,4.71,4.74,4.57,t,0.0,1.0
71,f,Tempelhof - Schöneberg,52.48538,13.34681,Entire home/apt,3,1,1,80.0,5,365,21,51,81,23,4.48,4.87,4.39,4.96,5.0,4.91,4.57,t,0.0,1.0
72,f,Spandau,52.51432,13.17765,Private room,2,1,1,40.0,1,1125,0,0,0,56,4.79,4.83,4.89,4.96,4.96,4.59,4.83,f,1.0,0.0
73,f,Mitte,52.53703,13.39735,Entire home/apt,5,2,1,122.0,3,365,18,44,67,21,4.55,4.4,4.65,4.75,4.7,4.85,4.6,t,0.0,1.0
75,t,Tempelhof - Schöneberg,52.48033,13.3609,Entire home/apt,2,1,1,59.0,4,365,17,47,77,258,4.91,4.95,4.97,4.97,4.98,4.85,4.89,f,0.0,1.0
76,f,Pankow,52.5378,13.41287,Private room,2,1,1,43.0,15,15,0,0,0,70,4.71,4.59,4.53,4.65,4.65,4.75,4.51,f,1.0,0.0
77,f,Mitte,52.53867,13.39712,Entire home/apt,5,2,1,113.0,3,365,8,22,41,11,4.73,4.73,4.55,4.91,5.0,4.91,4.27,t,0.0,1.0
78,f,Mitte,52.53667,13.39505,Entire home/apt,4,2,2,116.0,3,365,10,32,60,20,4.84,5.0,4.5,4.9,5.0,4.9,4.8,t,0.0,1.0
79,f,Pankow,52.53163,13.42152,Private room,2,1,1,49.0,1,7,0,0,0,1,4.0,5.0,3.0,4.0,4.0,5.0,4.0,f,0.0,1.0
80,f,Mitte,52.53881,13.39654,Entire home/apt,4,2,2,116.0,3,365,12,27,47,11,4.9,4.91,4.82,4.73,5.0,4.91,4.82,t,0.0,1.0
81,f,Friedrichshain-Kreuzberg,52.49681,13.41758,Entire home/apt,2,1,1,75.0,14,40,0,27,57,22,4.4,4.65,4.2,4.5,4.7,4.95,4.25,f,0.0,1.0
82,t,Friedrichshain-Kreuzberg,52.51099,13.45642,Entire home/apt,4,2,2,220.0,4,365,6,32,57,192,4.91,4.9,4.85,4.9,4.9,4.93,4.71,t,0.0,1.0
83,f,Charlottenburg-Wilm.,52.47844,13.30973,Entire home/apt,5,2,3,200.0,2,730,0,0,0,78,4.88,4.96,4.91,4.91,4.78,4.83,4.72,f,0.0,1.0
84,f,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,4,1,3,35.0,2,365,0,0,0,40,4.56,4.68,4.7,4.8,4.68,4.45,4.38,f,2.0,0.0
85,f,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,5,1,4,30.0,2,365,0,0,0,177,4.6,4.73,4.75,4.74,4.71,4.59,4.58,f,2.0,0.0
86,f,Friedrichshain-Kreuzberg,52.51182,13.47093,Private room,1,1,1,30.0,2,90,0,0,0,56,4.71,4.85,4.58,4.95,4.82,4.84,4.78,f,2.0,0.0
87,f,Friedrichshain-Kreuzberg,52.49738,13.41322,Entire home/apt,3,2,3,60.0,95,1000,0,0,16,104,4.36,4.28,4.46,4.75,4.78,4.46,4.48,f,0.0,1.0
88,f,Treptow - Köpenick,52.48938,13.44141,Entire home/apt,2,1,1,80.0,2,26,4,5,7,34,4.41,4.76,4.26,4.68,4.65,4.71,4.53,f,0.0,1.0
89,f,Neukölln,52.48584,13.42869,Private room,1,1,1,18.0,6,20,0,0,0,14,4.21,4.43,4.0,4.21,4.14,4.5,4.29,f,0.0,1.0
90,t,Friedrichshain-Kreuzberg,52.50786,13.46703,Entire home/apt,4,1,2,63.0,2,92,17,38,68,248,4.55,4.74,4.62,4.66,4.77,4.78,4.55,t,0.0,1.0
91,t,Friedrichshain-Kreuzberg,52.49707,13.3849,Entire home/apt,5,2,5,80.0,3,365,5,10,18,181,4.59,4.71,4.71,4.93,4.93,4.79,4.58,f,0.0,1.0
92,f,Neukölln,52.47705,13.44574,Private room,1,1,1,75.0,20,29,27,56,86,67,4.92,4.95,4.98,4.88,4.97,4.68,4.88,f,0.0,1.0
93,f,Friedrichshain-Kreuzberg,52.50943,13.45458,Private room,2,1,1,56.0,82,100,0,0,0,105,4.83,4.92,4.76,4.77,4.88,4.83,4.72,f,0.0,1.0
94,f,Pankow,52.53197,13.41994,Entire home/apt,6,2,3,169.0,5,23,0,0,0,40,5.0,4.94,4.97,4.97,5.0,4.97,5.0,f,0.0,2.0
95,f,Friedrichshain-Kreuzberg,52.49919,13.43648,Entire home/apt,4,2,4,110.0,5,60,0,8,8,30,4.67,4.63,4.47,4.7,4.93,4.9,4.67,f,0.0,1.0
96,f,Friedrichshain-Kreuzberg,52.49769,13.44399,Entire home/apt,4,2,2,95.0,2,365,0,0,0,223,4.61,4.77,4.7,4.77,4.66,4.62,4.61,f,0.0,1.0
97,f,Friedrichshain-Kreuzberg,52.51208,13.45706,Entire home/apt,2,1,1,98.0,9,20,0,0,0,6,5.0,4.83,5.0,5.0,5.0,5.0,5.0,f,0.0,1.0
98,f,Tempelhof - Schöneberg,52.39203,13.41021,Entire home/apt,6,2,3,73.0,3,365,4,28,58,106,4.7,4.88,4.79,4.93,4.91,4.7,4.73,f,0.0,2.0
99,t,Charlottenburg-Wilm.,52.50469,13.29409,Entire home/apt,2,1,2,60.0,92,1125,13,16,16,17,4.82,5.0,5.0,4.88,4.76,4.59,4.71,f,0.0,1.0
100,f,Friedrichshain-Kreuzberg,52.50702,13.46821,Entire home/apt,4,1,2,79.0,5,1125,19,49,59,157,4.4,4.5,4.47,4.47,4.54,4.77,4.28,t,0.0,1.0
101,f,Tempelhof - Schöneberg,52.46387,13.34225,Entire home/apt,2,2,3,75.0,2,365,13,24,43,127,4.6,4.79,4.87,4.87,4.84,4.6,4.62,f,0.0,1.0
102,f,Pankow,52.53961,13.41951,Entire home/apt,4,2,3,159.0,4,365,10,27,41,256,4.84,4.9,4.87,4.75,4.72,4.94,4.68,t,0.0,1.0
103,f,Friedrichshain-Kreuzberg,52.50266,13.43547,Private room,2,1,1,52.0,92,92,26,56,86,20,4.74,4.47,4.56,4.89,4.89,4.89,4.67,f,1.0,0.0
104,f,Pankow,52.53639,13.42765,Entire home/apt,2,1,1,65.0,3,20,0,0,0,12,4.91,4.82,4.91,4.91,4.91,4.64,4.73,f,0.0,1.0
105,f,Pankow,52.58045,13.44398,Entire home/apt,2,1,2,49.0,3,1125,1,1,1,17,4.94,4.94,5.0,4.94,5.0,4.59,4.69,f,0.0,1.0
106,t,Pankow,52.53949,13.41615,Entire home/apt,2,1,3,94.0,1,1125,26,56,86,211,4.78,4.85,4.9,4.83,4.9,4.9,4.56,t,0.0,1.5
107,t,Pankow,52.53237,13.41548,Entire home/apt,2,1,1,81.0,3,13,9,35,50,642,4.87,4.91,4.89,4.96,4.94,4.93,4.82,f,0.0,1.0
109,f,Friedrichshain-Kreuzberg,52.50977,13.44602,Private room,4,1,4,138.0,1,7,25,45,69,78,4.33,4.49,4.36,4.71,4.65,4.64,4.58,t,0.0,1.0
110,f,Mitte,52.54533,13.39887,Private room,2,1,1,50.0,5,21,21,51,81,7,4.67,4.86,4.71,5.0,5.0,4.86,4.71,f,1.0,0.0
111,t,Mitte,52.53164,13.40554,Entire home/apt,2,1,2,90.0,7,1125,0,0,0,83,4.82,4.9,4.72,4.73,4.82,4.96,4.68,f,0.0,1.0
112,f,Mitte,52.52889,13.40726,Entire home/apt,5,2,1,80.0,2,365,3,3,3,33,4.81,4.84,4.87,4.93,5.0,4.77,4.83,f,0.0,2.0
113,f,Mitte,52.52959,13.39763,Private room,2,1,1,42.0,1,730,0,0,0,1,0.0,3.884765792568997,3.7658480907581375,3.907018272425248,3.908782512451569,3.8565921517059714,3.77536720426385,f,0.0,1.0
114,f,Mitte,52.51107,13.41645,Entire home/apt,3,2,3,103.0,365,365,0,0,0,31,4.71,4.67,4.8,4.43,4.77,4.73,4.73,f,0.0,1.0
115,f,Mitte,52.51112,13.41596,Entire home/apt,3,2,3,78.0,365,365,0,0,0,56,4.71,4.76,4.86,4.76,4.71,4.59,4.71,f,0.0,1.0
116,f,Mitte,52.51101,13.41584,Entire home/apt,5,2,4,103.0,365,365,0,0,0,41,4.66,4.75,4.78,4.53,4.69,4.45,4.7,f,0.0,1.0
117,f,Mitte,52.50898,13.41535,Entire home/apt,3,2,3,78.0,365,365,0,0,0,81,4.66,4.83,4.91,4.68,4.68,4.48,4.77,f,0.0,1.0
118,f,Friedrichshain-Kreuzberg,52.50977,13.44602,Private room,2,1,2,76.0,1,7,26,49,76,111,4.19,4.42,4.21,4.68,4.64,4.58,4.32,t,0.0,0.0
119,f,Friedrichshain-Kreuzberg,52.50977,13.44602,Shared room,3,1,3,29.0,1,7,21,48,77,107,4.32,4.54,4.29,4.61,4.54,4.6,4.37,t,0.0,0.0
120,f,Friedrichshain-Kreuzberg,52.5181,13.43261,Private room,2,1,1,38.0,4,1124,0,0,0,92,4.64,4.87,4.64,4.75,4.87,4.75,4.58,f,1.0,0.0
121,f,Friedrichshain-Kreuzberg,52.50977,13.44602,Shared room,4,1,4,28.0,1,7,28,56,86,33,4.39,4.36,4.24,4.52,4.67,4.48,4.36,t,0.0,0.0
122,f,Tempelhof - Schöneberg,52.46353,13.34404,Entire home/apt,2,1,2,45.0,2,1125,0,3,9,307,4.76,4.87,4.93,4.9,4.9,4.61,4.81,f,0.0,1.0
123,f,Tempelhof - Schöneberg,52.46411,13.34383,Entire home/apt,2,1,3,60.0,2,1125,0,18,47,112,4.8,4.89,4.94,4.9,4.88,4.68,4.73,f,0.0,1.0
125,f,Tempelhof - Schöneberg,52.49015,13.35158,Entire home/apt,2,1,2,42.0,193,365,28,57,77,11,4.91,4.91,4.91,4.91,4.82,4.73,4.82,f,0.0,1.0
126,f,Mitte,52.53392,13.40503,Entire home/apt,7,1,3,175.0,1,1125,11,33,53,214,4.59,4.6,4.62,4.7,4.69,4.87,4.43,f,0.0,1.0
128,f,Reinickendorf,52.57217,13.35152,Private room,2,3,1,21.0,1,61,0,0,0,11,4.7,4.8,4.6,5.0,5.0,4.4,4.8,f,0.0,2.0
129,t,Pankow,52.54094,13.43602,Entire home/apt,4,1,2,92.0,3,200,22,52,82,404,4.57,4.73,4.65,4.67,4.79,4.58,4.52,f,0.0,1.0
131,f,Treptow - Köpenick,52.44987,13.48777,Entire home/apt,4,1,3,105.0,3,365,0,0,0,9,4.75,5.0,5.0,4.88,4.63,3.75,4.25,f,0.0,1.0
132,t,Pankow,52.5429,13.43628,Entire home/apt,4,1,2,92.0,3,200,26,56,86,408,4.59,4.77,4.77,4.75,4.74,4.54,4.51,f,0.0,1.0
133,t,Pankow,52.54424,13.42139,Entire home/apt,4,1,2,80.0,2,1125,8,8,19,178,4.96,4.97,4.92,4.97,4.97,4.94,4.88,f,0.0,1.0
134,f,Neukölln,52.48348,13.42909,Private room,1,1,1,32.0,3,60,22,32,49,76,4.41,4.73,4.53,4.71,4.5,4.41,4.57,f,2.0,0.0
135,f,Treptow - Köpenick,52.41733,13.54189,Entire home/apt,3,2,1,48.0,3,90,0,0,0,26,4.73,4.81,4.88,4.58,4.42,4.42,4.65,f,0.0,1.5
136,f,Charlottenburg-Wilm.,52.499,13.30171,Entire home/apt,1,1,1,50.0,92,180,0,0,0,28,4.82,4.82,4.74,4.93,5.0,4.93,4.78,f,0.0,1.0
137,f,Neukölln,52.48348,13.42909,Private room,3,1,3,56.0,3,60,23,53,83,199,4.34,4.51,4.25,4.68,4.59,4.45,4.38,f,2.0,0.0
138,f,Neukölln,52.48348,13.42909,Private room,3,1,3,56.0,3,60,23,53,83,235,4.29,4.51,4.29,4.58,4.48,4.4,4.39,f,1.0,0.0
139,f,Pankow,52.54185,13.42415,Entire home/apt,2,1,1,98.0,10,366,2,31,61,2,5.0,5.0,5.0,5.0,4.5,5.0,5.0,f,0.0,1.0
140,t,Neukölln,52.41975,13.48541,Entire home/apt,4,1,1,74.0,3,30,10,35,41,33,4.97,4.91,4.94,4.97,4.97,4.79,4.91,f,0.0,1.0
141,f,Friedrichshain-Kreuzberg,52.49667,13.40044,Entire home/apt,4,1,1,65.0,1,365,0,0,0,2,4.0,4.0,4.5,4.0,4.0,4.0,4.0,f,0.0,1.0
142,f,Tempelhof - Schöneberg,52.48288,13.35491,Private room,2,1,1,35.0,5,25,0,0,0,12,4.63,4.7,4.0,4.5,4.3,4.8,4.6,f,0.0,1.5
143,f,Charlottenburg-Wilm.,52.50001,13.30349,Entire home/apt,4,1,2,129.0,2,365,8,18,43,520,4.7,4.74,4.75,4.78,4.79,4.72,4.63,f,0.0,1.0
144,f,Neukölln,52.48378,13.43379,Private room,1,1,1,29.0,7,60,0,0,0,16,4.69,4.81,4.75,4.88,4.88,4.5,4.63,f,1.5,0.0
145,t,Pankow,52.5376,13.41004,Entire home/apt,2,1,1,65.0,92,365,6,16,16,9,4.75,4.89,4.78,4.44,4.67,4.78,4.33,f,0.0,1.0
146,f,Steglitz - Zehlendorf,52.4343,13.23037,Entire home/apt,3,1,2,120.0,122,730,0,18,48,15,4.4,4.07,4.47,4.8,4.73,4.87,4.0,f,0.0,1.0
147,t,Charlottenburg-Wilm.,52.49614,13.29501,Entire home/apt,4,2,3,139.0,60,180,9,39,69,85,4.81,4.8,4.84,4.89,4.87,4.78,4.66,f,0.0,1.5
148,f,Friedrichshain-Kreuzberg,52.49885,13.40021,Entire home/apt,5,1,6,85.0,2,1125,26,56,82,390,4.47,4.7,4.69,4.62,4.57,4.54,4.49,f,0.0,1.0
149,f,Mitte,52.51952,13.3513,Entire home/apt,6,3,6,99.0,60,365,0,0,0,65,4.7,4.63,4.69,4.75,4.79,4.67,4.69,f,0.0,1.0
150,f,Tempelhof - Schöneberg,52.49281,13.34951,Entire home/apt,2,1,2,45.0,92,365,0,0,4,57,4.64,4.86,4.86,4.66,4.8,4.71,4.73,f,0.0,1.0
151,f,Pankow,52.53243,13.41645,Entire home/apt,3,1,2,45.0,92,240,0,0,0,14,4.31,4.5,4.5,4.17,4.42,4.75,4.25,f,0.0,1.0
152,t,Friedrichshain-Kreuzberg,52.5135,13.45802,Entire home/apt,2,1,1,76.0,1,1125,15,30,39,338,4.89,4.91,4.94,4.97,4.97,4.94,4.77,t,0.0,1.0
153,f,Pankow,52.53822,13.45771,Entire home/apt,4,2,2,105.0,3,365,19,49,63,95,4.77,4.8,4.87,4.85,4.85,4.49,4.68,f,0.0,1.0
154,f,Mitte,52.53008,13.39961,Entire home/apt,2,1,1,80.0,4,365,0,0,0,79,4.87,4.76,4.76,4.92,4.95,4.89,4.76,f,0.0,1.0
155,t,Neukölln,52.43973,13.46044,Entire home/apt,3,1,2,57.0,3,365,2,5,32,40,4.79,4.9,4.8,4.98,4.95,4.65,4.8,t,0.0,1.0
156,f,Mitte,52.51398,13.40711,Private room,2,1,1,55.0,1,20,0,0,0,40,4.73,4.77,4.72,4.87,4.92,4.87,4.82,f,0.0,1.0
157,f,Pankow,52.57243,13.42076,Entire home/apt,5,2,4,48.0,183,360,29,59,89,30,4.77,4.7,4.63,4.83,4.77,4.37,4.57,f,0.0,1.0
158,f,Pankow,52.55527,13.42104,Entire home/apt,2,1,1,75.0,3,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
159,f,Charlottenburg-Wilm.,52.49787,13.29706,Entire home/apt,2,1,1,99.0,93,1125,29,59,89,3,3.67,4.0,4.0,4.33,4.33,4.0,4.5,f,0.0,1.0
160,f,Lichtenberg,52.4766,13.50838,Entire home/apt,4,2,4,75.0,3,365,22,52,82,57,4.14,4.25,4.3,4.67,4.44,4.25,4.15,f,0.0,1.0
