,index,actual_results,pred_results
0,4324.0,70.0,89.26896238095237
1,11510.0,79.0,103.83067682117827
2,11437.0,45.0,71.65332114027481
3,2255.0,175.0,81.93648441558446
4,4810.0,17.0,26.98447384603256
5,3643.0,50.0,36.367709448628034
6,3952.0,20.0,49.24076516465989
7,7308.0,38.0,57.60284210526315
8,2691.0,36.0,40.33307606282607
9,7124.0,74.0,80.47595688646251
10,7082.0,75.0,52.46811904761905
11,15710.0,144.0,132.3389735946438
12,1392.0,95.0,94.23016533269248
13,10970.0,190.0,152.71245055264427
14,12923.0,157.0,119.8205284802916
15,698.0,120.0,137.4442897928431
16,4309.0,48.0,88.46852764249292
17,12120.0,39.0,71.42423456272748
18,12133.0,109.0,114.83347875008766
19,9837.0,70.0,66.75206941540013
20,1328.0,95.0,93.7267575757576
21,7504.0,100.0,74.4128600950191
22,13222.0,36.0,55.0876921805248
23,669.0,234.0,124.68559937284937
24,7437.0,25.0,35.09523084436049
25,1204.0,41.0,63.36783093763439
26,4399.0,60.0,76.77721214285711
27,15468.0,232.0,150.6991711719653
28,8696.0,51.0,61.45139393939393
29,7173.0,100.0,121.76323403126517
30,2052.0,50.0,60.223723205081015
31,12095.0,139.0,106.21707125541123
32,14707.0,106.0,112.59270238095232
33,4972.0,42.0,36.53849055638335
34,4.0,135.0,159.18482539682546
35,10973.0,69.0,80.10579545454544
36,1555.0,25.0,32.872610354699056
37,9277.0,98.0,95.49079426578324
38,13611.0,90.0,78.90468250109343
39,9151.0,75.0,33.847427283898135
40,12279.0,75.0,103.79488888888888
41,2146.0,20.0,36.02525858712549
42,4559.0,19.0,36.52454084747547
43,159.0,99.0,71.10889897210346
44,4278.0,59.0,64.48890151515153
45,10494.0,209.0,117.27928700396824
46,5139.0,43.0,40.337648710320565
47,14052.0,65.0,53.581260358186285
48,6032.0,28.0,39.761185339410304
49,223.0,50.0,53.70125477608147
50,5659.0,45.0,43.64643600586171
51,9370.0,50.0,63.389314202499406
52,8359.0,45.0,71.00042490912034
53,13760.0,115.0,120.65837237762238
54,15650.0,34.0,54.623599439775916
55,11117.0,50.0,53.844317209879904
56,14028.0,140.0,102.100261208577
57,14269.0,94.0,106.01733984031475
58,1649.0,70.0,72.02766125730994
59,5385.0,209.0,139.81778896103899
60,8236.0,105.0,99.28580707985289
61,9519.0,65.0,65.00176138536683
62,4483.0,35.0,39.55480709798913
63,5300.0,37.0,41.84924899395785
64,10881.0,50.0,72.04901905639929
65,14700.0,99.0,50.990302363880566
66,11554.0,158.0,144.06949999999998
67,1072.0,50.0,39.62315606044095
68,8579.0,75.0,82.50040339123605
69,13605.0,85.0,103.89464957264956
70,13476.0,70.0,59.87076767676769
71,5138.0,30.0,35.41628410395688
72,7596.0,229.0,142.92841804951996
73,417.0,114.0,106.51804889683962
74,5007.0,80.0,68.50124002861637
75,15677.0,56.0,123.16894675709784
76,3928.0,85.0,57.300736435986785
77,5004.0,45.0,62.21571253216
